ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,Description,,,,,,,,,
1203446087,The Ugly Pretty Project: By Amanda Standlee,Photobooks,Photography,USD,2015-03-02,2000,2015-01-31 06:57:10,56,failed,3,US,56,56,2000,What happens when the Inner Ugly starts to show through that Beauty? It transforms you! A Photobook collection of my project.,,,,,,,,,
1203446975,The Icing Moat,Food,Food,USD,2015-12-06,4000,2015-11-06 02:49:11,0,failed,0,US,0,0,4000,Eating cupcakes just got easier. Gone are the days of getting icing everywhere. The Icing Moat makes cupcakes fun and mess-free.,,,,,,,,,
1203447506,Fauna Halø EP,Pop,Music,USD,2015-03-15,1200,2015-01-24 20:31:49,100,failed,1,US,100,100,1200,"Humbly asking for donations towards a 5 song EP! Anything counts, the songs are all ready and waiting. Can't wait to see what happens!",,,,,,,,,
1203450446,WanderVerse,Fiction,Publishing,USD,2014-11-01,300,2014-10-02 19:33:35,335,successful,9,US,335,335,300,Join WanderVerse! An interactive web novel where you provide the ideas and I provide the words!,,,,,,,,,
1203461760,Gainesville Sister Cities Pavilion,Public Art,Art,USD,2016-01-27,10000,2015-12-28 22:14:23,5,failed,1,US,5,5,10000,Help build a display in front of City Hall on University Avenue showcasing Gainesville's nine active sister city relationships,,,,,,,,,
1203470139,Curious George Documentary,Documentary,Film & Video,USD,2016-08-25,175000,2016-07-26 18:01:41,186010,successful,1483,US,2028,186010,175000,"A documentary film exploring the extraordinary lives of Hans & Margret Rey, the authors of the beloved Curious George children’s books.",,,,,,,,,
1203471302,Treasureology Classroom,DIY,Crafts,USD,2016-09-28,2000,2016-09-06 14:24:19,2250,successful,39,US,0,2250,2000,Join jeweler and teacher Meg Truesdell in bringing creativity to life for all ages with Treasureology: Jewelry to Discover and Create!,,,,,,,,,
1203477958,Glow of Freedom - Documentary,Documentary,Film & Video,USD,2016-04-08,19999,2016-03-07 16:49:44,11217,failed,20,US,11217,11217,19999,"For only a few days a year the Freedom Tower Glows like a torch on the NYC Skyline, we explore why in our documentary ""Glow of Freedom""",,,,,,,,,
120350388,1Cables: Turn your smartphone into a computer,Gadgets,Technology,USD,2016-12-08,20000,2016-11-08 16:08:24,37064.4,successful,1081,US,7676,37064.4,20000,"It is the first smart cable to connect smartphones to everything, giving your phone the capabilities of a computer.",,,,,,,,,
1203510117,"""THE HEDGE""  Bicycle® Maze Playing Card Deck",Graphic Design,Design,USD,2013-02-28,8000,2013-01-29 03:00:55,10387,successful,385,US,10387,10387,8000,The Hedge is an intricate deck of playing cards featuring fully integrated maze designs. Produced by The U.S. Playing Card Company.,,,,,,,,,
1203542731,What Would Beethoven Do?,Classical Music,Music,USD,2013-09-30,22000,2013-08-21 18:25:51,22237.67,successful,203,US,22237.67,22237.67,22000,Orchestras and arts organizations are struggling. Popular interest in classical music is at an all time low. What would Beethoven do?,,,,,,,,,
1203547642,MusicYou..A Fan Driven Music Voting Site,Software,Technology,USD,2014-06-01,20000,2014-05-02 21:59:10,36,failed,1,US,36,36,20000,"MusicYou will be an exciting music voting website. People Upload their sounds, People vote on them. You decide on what stays or goes.",,,,,,,,,
1203551438,Quilt Shop Cuckoo Clock,Product Design,Design,USD,2015-01-27,20550,2015-01-06 18:29:10,22336,successful,57,US,22336,22336,20550,Made in Germany its the real thing! And it's animated: The cuckoo's call triggers the quilter to cut and the kitty to jump with joy!,,,,,,,,,
1203553357,"The War Of The Medallions ""The Quest For The Medallions)",Fiction,Publishing,USD,2016-05-07,2500,2016-04-07 17:19:16,11,failed,2,US,11,11,2500,Introducing my young adult fantasy novel and I want to take the world on a unforgettable journey on each page!,,,,,,,,,
1203555030,NETcruitz.com - the ultimate virtual scouting/recruiting,Web,Technology,USD,2015-01-05,15550,2014-11-10 14:07:33,501,failed,2,US,501,501,15550,"THINK RECRUITMENT PROFILES FOR ATHLETES, FROM THE TOP TO BOTTOM---ALL VERIFIED STATS!

A SERVICE TO BE OFFERED FOR ALL AT ANY LEVEL!",,,,,,,,,
1203557353,Food For You- Gluten Freedom,Food,Food,CAD,2016-08-13,10000,2016-06-14 14:50:48,1,failed,1,CA,0,0.78,7785.74,Our goal is to give people with gluten restrictions the same freedom and delicious options as any other takeout experience.,,,,,,,,,
